"year","var","best","lo","hi","c_tot_newrel_100k"
1990,"Incidence and notification",160.786209106445,134.828826904297,188.990921020508,58.374996554263
1990,"Mortality (excluding HIV)",20.6920490264893,18.4808368682861,23.0263366699219,NA
1990,"Prevalence",261.250915527344,237.906219482422,285.669647216797,NA
1991,"Incidence and notification",155.843353271484,131.944519042969,181.69873046875,48.9424384240751
1991,"Mortality (excluding HIV)",19.686185836792,17.495023727417,22.0047779083252,NA
1991,"Prevalence",257.095458984375,233.860656738281,281.411926269531,NA
1992,"Incidence and notification",150.77099609375,128.515228271484,174.774978637695,47.8751419232842
1992,"Mortality (excluding HIV)",18.6380176544189,16.4741077423096,20.9334087371826,NA
1992,"Prevalence",253.624786376953,230.438629150391,277.903472900391,NA
1993,"Incidence and notification",146.55061340332,125.458694458008,169.254684448242,45.0505842373838
1993,"Mortality (excluding HIV)",17.8035488128662,15.6255521774292,20.1215648651123,NA
1993,"Prevalence",249.010818481445,225.971115112305,273.150146484375,NA
1994,"Incidence and notification",141.684875488281,122.04615020752,162.764984130859,44.886788502756
1994,"Mortality (excluding HIV)",16.8701801300049,14.711332321167,19.1746635437012,NA
1994,"Prevalence",243.54948425293,220.629089355469,267.58349609375,NA
1995,"Incidence and notification",138.087280273438,119.79615020752,157.657043457031,50.6003902397016
1995,"Mortality (excluding HIV)",16.0518913269043,13.8547916412354,18.4083442687988,NA
1995,"Prevalence",238.480926513672,215.636291503906,262.456359863281,NA
1996,"Incidence and notification",134.197387695312,117.073097229004,152.471801757812,53.0742074255894
1996,"Mortality (excluding HIV)",15.1047515869141,12.8976230621338,17.4836044311523,NA
1996,"Prevalence",233.173400878906,210.342727661133,257.160552978516,NA
1997,"Incidence and notification",130.301620483398,114.278396606445,147.359359741211,52.477186960164
1997,"Mortality (excluding HIV)",13.9984760284424,11.7943525314331,16.3885459899902,NA
1997,"Prevalence",227.771484375,205.012557983398,251.708236694336,NA
1998,"Incidence and notification",127.174324035645,112.195724487305,143.076507568359,49.9009251698217
1998,"Mortality (excluding HIV)",13.2608909606934,11.0293369293213,15.695013999939,NA
1998,"Prevalence",222.633712768555,199.849060058594,246.627746582031,NA
1999,"Incidence and notification",123.383605957031,109.375289916992,138.222640991211,48.6983263731695
1999,"Mortality (excluding HIV)",12.5372200012207,10.2517261505127,15.0492115020752,NA
1999,"Prevalence",216.038009643555,193.185455322266,240.146774291992,NA
2000,"Incidence and notification",119.462738037109,106.33373260498,133.344039916992,46.3384563301988
2000,"Mortality (excluding HIV)",11.5406360626221,9.6420955657959,13.607253074646,NA
2000,"Prevalence",209.856338500977,186.868362426758,234.155517578125,NA
2001,"Incidence and notification",117.189079284668,104.887245178223,130.162338256836,47.1169677793146
2001,"Mortality (excluding HIV)",10.9306468963623,9.32923030853271,12.6570100784302,NA
2001,"Prevalence",203.003814697266,181.014862060547,226.23225402832,NA
2002,"Incidence and notification",113.770500183105,102.224540710449,125.924575805664,47.1643276928634
2002,"Mortality (excluding HIV)",10.3431949615479,9.07528114318848,11.6927700042725,NA
2002,"Prevalence",196.066970825195,175.114151000977,218.184234619141,NA
2003,"Incidence and notification",110.793014526367,99.9293060302734,122.208572387695,56.6217750180489
2003,"Mortality (excluding HIV)",9.68554592132568,8.69862270355225,10.7247085571289,NA
2003,"Prevalence",189.078704833984,169.165588378906,210.081573486328,NA
2004,"Incidence and notification",107.590034484863,97.3482208251953,118.336128234863,66.5112299877336
2004,"Mortality (excluding HIV)",9.09376049041748,8.31801700592041,9.90361595153809,NA
2004,"Prevalence",181.725112915039,162.832656860352,201.637619018555,NA
2005,"Incidence and notification",105.123237609863,95.4307861328125,115.277267456055,72.540393143439
2005,"Mortality (excluding HIV)",8.63569641113281,7.85099029541016,9.45724010467529,NA
2005,"Prevalence",174.071243286133,156.204925537109,192.88932800293,NA
2006,"Incidence and notification",102.174812316895,92.9426116943359,111.837409973145,75.2865277109669
2006,"Mortality (excluding HIV)",8.15032958984375,7.43739461898804,8.8954381942749,NA
2006,"Prevalence",166.423980712891,149.507705688477,184.232269287109,NA
2007,"Incidence and notification",99.4056015014648,90.6082916259766,108.604179382324,76.6533707298268
2007,"Mortality (excluding HIV)",7.6830620765686,7.02077960968018,8.37476444244385,NA
2007,"Prevalence",158.784881591797,142.906951904297,175.48583984375,NA
2008,"Incidence and notification",96.6325073242188,88.1540756225586,105.494293212891,76.0094654884905
2008,"Mortality (excluding HIV)",7.23605012893677,6.62846517562866,7.8698353767395,NA
2008,"Prevalence",150.957733154297,135.744812011719,166.965759277344,NA
2009,"Incidence and notification",94.2748336791992,85.9636993408203,102.963562011719,75.0916740744405
2009,"Mortality (excluding HIV)",6.82807588577271,6.22946119308472,7.45370054244995,NA
2009,"Prevalence",143.228637695312,128.701812744141,158.519882202148,NA
2010,"Incidence and notification",91.7861328125,83.8936538696289,100.028038024902,72.8894804179013
2010,"Mortality (excluding HIV)",6.44875383377075,5.87043714523315,7.05388975143433,NA
2010,"Prevalence",138.513153076172,124.39729309082,153.375610351562,NA
2011,"Incidence and notification",89.518684387207,81.8581390380859,97.5166854858398,73.7022693367271
2011,"Mortality (excluding HIV)",6.11321640014648,5.53244781494141,6.72263336181641,NA
2011,"Prevalence",133.698806762695,120.017486572266,148.106872558594,NA
2012,"Incidence and notification",87.2279968261719,79.7960662841797,94.9857940673828,74.4749184099194
2012,"Mortality (excluding HIV)",5.7808403968811,5.22144412994385,6.3683032989502,NA
2012,"Prevalence",127.703689575195,114.567687988281,141.541366577148,NA
