"iso3","year","variable","value","country"
"CHN",2005,"HIV testing 
among TB patients",NA,"China"
"CHN",2006,"HIV testing 
among TB patients",0.141777775152263,"China"
"CHN",2007,"HIV testing 
among TB patients",6.43106337941314,"China"
"CHN",2008,"HIV testing 
among TB patients",7.89809311360773,"China"
"CHN",2009,"HIV testing 
among TB patients",6.43660866351828,"China"
"CHN",2010,"HIV testing 
among TB patients",15.8039354148345,"China"
"CHN",2011,"HIV testing 
among TB patients",22.8845993569358,"China"
"CHN",2012,"HIV testing 
among TB patients",34.3502339348802,"China"
"KHM",2005,"HIV testing 
among TB patients",2.89012540486671,"Cambodia"
"KHM",2006,"HIV testing 
among TB patients",13.3113404387301,"Cambodia"
"KHM",2007,"HIV testing 
among TB patients",46.8694341690643,"Cambodia"
"KHM",2008,"HIV testing 
among TB patients",54.0507282772476,"Cambodia"
"KHM",2009,"HIV testing 
among TB patients",70.3102067215602,"Cambodia"
"KHM",2010,"HIV testing 
among TB patients",77.4382627077928,"Cambodia"
"KHM",2011,"HIV testing 
among TB patients",82.0368036299471,"Cambodia"
"KHM",2012,"HIV testing 
among TB patients",80.3790550946396,"Cambodia"
"LAO",2005,"HIV testing 
among TB patients",NA,"Lao 
People’s 
Democratic 
Republic"
"LAO",2006,"HIV testing 
among TB patients",9.93117010816126,"Lao 
People’s 
Democratic 
Republic"
"LAO",2007,"HIV testing 
among TB patients",11.7015968063872,"Lao 
People’s 
Democratic 
Republic"
"LAO",2008,"HIV testing 
among TB patients",13.4249216678718,"Lao 
People’s 
Democratic 
Republic"
"LAO",2009,"HIV testing 
among TB patients",17.4554707379135,"Lao 
People’s 
Democratic 
Republic"
"LAO",2010,"HIV testing 
among TB patients",37.5459221160911,"Lao 
People’s 
Democratic 
Republic"
"LAO",2011,"HIV testing 
among TB patients",45.8627763847732,"Lao 
People’s 
Democratic 
Republic"
"LAO",2012,"HIV testing 
among TB patients",48.0991337824832,"Lao 
People’s 
Democratic 
Republic"
"MNG",2005,"HIV testing 
among TB patients",0.0211595429538722,"Mongolia"
